Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3141,165,5,449.483397580,39.3385,-76.1278,39.3385,-76.1278,1,39,-84.51
link,3142,165,5,449.911124142,39.3602,-76.12,39.3602,-76.12,1,39,-84.51
link,3143,165,5,450.095629045,39.3647,-76.1166,39.3647,-76.1166,1,39,-84.51
link,3144,165,5,450.698957197,39.372,-76.1054,39.372,-76.1054,1,39,-84.51
link,3145,165,5,453.143630109,39.3696,-76.0596,39.3696,-76.0596,1,39,-84.51
link,3146,165,5,454.832559037,39.3624,-76.0279,39.3624,-76.0279,1,39,-84.51
link,3147,165,5,456.344268326,39.3622,-75.9996,39.3622,-75.9996,1,39,-84.51
link,3148,165,5,459.983660100,39.365,-75.9315,39.365,-75.9315,1,39,-84.51
link,3149,165,5,462.429121843,39.3625,-75.8857,39.3625,-75.8857,1,39,-84.51
link,3150,165,5,463.796420446,39.3618,-75.8601,39.3618,-75.8601,1,39,-84.51
link,3151,165,5,464.917325607,39.3715,-75.8392,39.3715,-75.8392,1,39,-84.51
link,3152,165,5,463.597209063,39.3796,-75.864,39.3796,-75.864,1,39,-84.51
link,3153,165,5,461.420285377,39.3743,-75.9047,39.3743,-75.9047,1,39,-84.51
link,3154,165,5,455.982004202,39.3805,-76.0066,39.3805,-76.0066,1,39,-84.51
link,3155,165,5,454.512859590,39.3929,-76.0343,39.3929,-76.0343,1,39,-84.51
link,3156,165,5,455.625210681,39.4162,-76.0139,39.4162,-76.0139,1,39,-84.51
link,3157,165,5,457.803677776,39.4508,-75.9739,39.4508,-75.9739,1,39,-84.51
link,3158,165,5,458.994303493,39.4658,-75.952,39.4658,-75.952,1,39,-84.51
link,3159,165,5,459.930826377,39.4745,-75.9347,39.4745,-75.9347,1,39,-84.51
link,3160,165,5,461.117678130,39.4764,-75.9125,39.4764,-75.9125,1,39,-84.51
link,3161,165,5,463.573173220,39.4643,-75.8661,39.4643,-75.8661,1,39,-84.51
link,3162,165,5,465.002816187,39.4608,-75.8392,39.4608,-75.8392,1,39,-84.51
link,3163,165,5,465.011776817,39.467,-75.8392,39.467,-75.8392,1,39,-84.51
link,3164,165,5,463.454776206,39.4807,-75.8688,39.4807,-75.8688,1,39,-84.51
link,3165,165,5,462.664300891,39.4923,-75.884,39.4923,-75.884,1,39,-84.51
link,3166,165,5,462.172419888,39.5086,-75.8938,39.5086,-75.8938,1,39,-84.51
link,3167,165,5,463.510335239,39.5195,-75.8691,39.5195,-75.8691,1,39,-84.51
link,3168,165,5,464.498808834,39.5384,-75.8513,39.5384,-75.8513,1,39,-84.51
link,3169,165,5,465.191620734,39.5615,-75.8393,39.5615,-75.8393,1,39,-84.51
link,3170,165,5,465.654631799,39.5844,-75.8317,39.5844,-75.8317,1,39,-84.51
link,3171,165,5,464.342964172,39.5774,-75.856,39.5774,-75.856,1,39,-84.51
link,3172,165,5,463.379737369,39.5629,-75.8734,39.5629,-75.8734,1,39,-84.51
link,3173,165,5,462.501865519,39.5455,-75.8891,39.5455,-75.8891,1,39,-84.51
link,3174,165,5,461.607135418,39.5215,-75.9049,39.5215,-75.9049,1,39,-84.51
link,3175,165,5,458.268853172,39.4817,-75.9661,39.4817,-75.9661,1,39,-84.51
link,3176,165,5,456.377017604,39.4528,-76.0007,39.4528,-76.0007,1,39,-84.51
link,3177,165,5,456.484347351,39.4855,-75.9997,39.4855,-75.9997,1,39,-84.51
link,3178,165,5,457.005778434,39.5045,-75.9906,39.5045,-75.9906,1,39,-84.51
link,3179,165,5,458.403942659,39.5329,-75.9655,39.5329,-75.9655,1,39,-84.51
link,3180,165,5,459.014851485,39.5481,-75.9547,39.5481,-75.9547,1,39,-84.51
link,3181,165,5,459.478864406,39.5654,-75.9468,39.5654,-75.9468,1,39,-84.51
link,3182,165,5,460.230911111,39.6042,-75.9347,39.6042,-75.9347,1,39,-84.51
link,3183,165,5,459.354405980,39.601,-75.951,39.601,-75.951,1,39,-84.51
link,3184,165,5,458.707531795,39.5908,-75.9626,39.5908,-75.9626,1,39,-84.51
link,3185,165,5,457.759257588,39.5673,-75.9792,39.5673,-75.9792,1,39,-84.51
link,3186,165,5,456.156984397,39.5487,-76.0084,39.5487,-76.0084,1,39,-84.51
link,3187,165,5,454.590510407,39.5566,-76.0382,39.5566,-76.0382,1,39,-84.51
link,3188,165,5,453.171814207,39.5556,-76.0648,39.5556,-76.0648,1,39,-84.51
link,3189,165,5,452.208748790,39.5578,-76.083,39.5578,-76.083,1,39,-84.51
link,3190,165,5,451.688346973,39.5502,-76.0924,39.5502,-76.0924,1,39,-84.51
link,3191,165,5,450.068685465,39.4949,-76.1204,39.4949,-76.1204,1,39,-84.51
link,3192,165,5,450.619408371,39.485,-76.1097,39.485,-76.1097,1,39,-84.51
link,3193,165,5,452.552325259,39.4751,-76.0731,39.4751,-76.0731,1,39,-84.51
link,3194,165,5,452.971333990,39.4708,-76.0651,39.4708,-76.0651,1,39,-84.51
link,3195,165,5,452.821708102,39.4578,-76.0675,39.4578,-76.0675,1,39,-84.51
